Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Compressed Natural Gas (CNG)",Alabama,10,4,"Light Duty",Pickups,Non-dedicated,"Natural Gas Providers",AL
2017,"Compressed Natural Gas (CNG)",Georgia,2,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",GA
2017,"Compressed Natural Gas (CNG)",Illinois,1,0,"Light Duty",Trucks,Dedicated,"State Agencies",IL
2017,"Compressed Natural Gas (CNG)",Indiana,1,1,"Heavy Duty",Buses,Non-dedicated,"State Agencies",IN
2017,"Compressed Natural Gas (CNG)",Indiana,35,21,"Medium Duty",Pickups,Non-dedicated,"State Agencies",IN
2017,"Compressed Natural Gas (CNG)",Massachusetts,22,176,"Heavy Duty",Buses,Dedicated,"State Agencies",MA
2017,"Compressed Natural Gas (CNG)",Massachusetts,16,3,"Light Duty","Automobiles (Compact)",Dedicated,"State Agencies",MA
2017,"Compressed Natural Gas (CNG)",Massachusetts,1,1,"Light Duty",Pickups,Non-dedicated,"State Agencies",MA
2017,"Compressed Natural Gas (CNG)",Massachusetts,2,1,"Light Duty",SUVs,Dedicated,"State Agencies",MA
2017,"Compressed Natural Gas (CNG)",Massachusetts,1,0,"Light Duty",Trucks,Dedicated,"State Agencies",MA
2017,"Compressed Natural Gas (CNG)",Massachusetts,3,1,"Light Duty","Vans (Minivans)",Dedicated,"State Agencies",MA
2017,"Compressed Natural Gas (CNG)",Massachusetts,1,1,"Medium Duty",Pickups,Dedicated,"State Agencies",MA
2017,"Compressed Natural Gas (CNG)",Maryland,15,1,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",MD
2017,"Compressed Natural Gas (CNG)",Maryland,2,0,"Light Duty","Automobiles (Compact)",Dedicated,"State Agencies",MD
2017,"Compressed Natural Gas (CNG)",Maryland,3,1,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",MD
2017,"Compressed Natural Gas (CNG)",Minnesota,2,1,"Medium Duty",Pickups,Non-dedicated,"State Agencies",MN
2017,"Compressed Natural Gas (CNG)","New Hampshire",5,40,"Heavy Duty",Buses,Dedicated,"State Agencies",NH
2017,"Compressed Natural Gas (CNG)","New Hampshire",9,58,"Heavy Duty",Buses,Dedicated,"State Agencies",NH
2017,"Compressed Natural Gas (CNG)","New Hampshire",4,1,"Light Duty","Automobiles (Compact)",Dedicated,"State Agencies",NH
2017,"Compressed Natural Gas (CNG)","New Hampshire",6,2,"Light Duty","Automobiles (Midsize)",Dedicated,"State Agencies",NH
2017,"Compressed Natural Gas (CNG)","New Hampshire",3,1,"Light Duty",Pickups,Dedicated,"State Agencies",NH
2017,"Compressed Natural Gas (CNG)","New Hampshire",5,2,"Light Duty",Trucks,Dedicated,"State Agencies",NH
2017,"Compressed Natural Gas (CNG)","New Hampshire",2,2,"Medium Duty",Pickups,Dedicated,"State Agencies",NH
2017,"Compressed Natural Gas (CNG)","New Jersey",2,3,"Heavy Duty",Trucks,Dedicated,"State Agencies",NJ
2017,"Compressed Natural Gas (CNG)","New Jersey",8,1,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NJ
2017,"Compressed Natural Gas (CNG)","New Jersey",6,1,"Light Duty","Automobiles (Compact)",Dedicated,"State Agencies",NJ
2017,"Compressed Natural Gas (CNG)","New Jersey",38,19,"Light Duty",Pickups,Non-dedicated,"State Agencies",NJ
2017,"Compressed Natural Gas (CNG)","New Jersey",3,2,"Medium Duty",Trucks,Non-dedicated,"State Agencies",NJ
2017,"Compressed Natural Gas (CNG)","New Mexico",2,1,"Light Duty",Trucks,Dedicated,"State Agencies",NM
2017,"Compressed Natural Gas (CNG)",Nevada,12,1,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NV
2017,"Compressed Natural Gas (CNG)",Nevada,2,0,"Light Duty","Automobiles (Compact)",Dedicated,"State Agencies",NV
2017,"Compressed Natural Gas (CNG)",Nevada,1,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",NV
2017,"Compressed Natural Gas (CNG)",Nevada,1,1,"Light Duty",Pickups,Non-dedicated,"State Agencies",NV
2017,"Compressed Natural Gas (CNG)",Nevada,4,2,"Light Duty",Pickups,Dedicated,"State Agencies",NV
2017,"Compressed Natural Gas (CNG)",Nevada,2,1,"Medium Duty",Pickups,Non-dedicated,"State Agencies",NV
2017,"Compressed Natural Gas (CNG)",Nevada,1,1,"Medium Duty",Pickups,Dedicated,"State Agencies",NV
2017,"Compressed Natural Gas (CNG)","New York",925,7400,"Heavy Duty",Buses,Dedicated,"State Agencies",NY
2017,"Compressed Natural Gas (CNG)","New York",62,106,"Heavy Duty",Trucks,Dedicated,"State Agencies",NY
2017,"Compressed Natural Gas (CNG)","New York",4,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NY
2017,"Compressed Natural Gas (CNG)","New York",52,8,"Light Duty","Automobiles (Compact)",Dedicated,"State Agencies",NY
2017,"Compressed Natural Gas (CNG)","New York",104,52,"Light Duty",Pickups,Non-dedicated,"State Agencies",NY
2017,"Compressed Natural Gas (CNG)","New York",13,8,"Medium Duty",Pickups,Non-dedicated,"State Agencies",NY
2017,"Compressed Natural Gas (CNG)","New York",1,1,"Medium Duty",Pickups,Dedicated,"State Agencies",NY
2017,"Compressed Natural Gas (CNG)","New York",1,1,"Medium Duty",Trucks,Non-dedicated,"State Agencies",NY
2017,"Compressed Natural Gas (CNG)",Ohio,10,80,"Heavy Duty",Buses,Dedicated,"State Agencies",OH
2017,"Compressed Natural Gas (CNG)",Ohio,2,0,"Light Duty","Automobiles (Compact)",Dedicated,"State Agencies",OH
2017,"Compressed Natural Gas (CNG)",Ohio,3,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",OH
2017,"Compressed Natural Gas (CNG)",Ohio,1,1,"Light Duty",Pickups,Non-dedicated,"State Agencies",OH
2017,"Compressed Natural Gas (CNG)",Ohio,3,1,"Light Duty",Pickups,Dedicated,"State Agencies",OH
2017,"Compressed Natural Gas (CNG)",Ohio,1,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",OH
2017,"Compressed Natural Gas (CNG)",Ohio,2,1,"Medium Duty",Trucks,Non-dedicated,"State Agencies",OH
2017,"Compressed Natural Gas (CNG)",Ohio,1,5,"Medium Duty",Trucks,Dedicated,"State Agencies",OH
2017,"Compressed Natural Gas (CNG)",Oklahoma,35,224,"Heavy Duty",Buses,Dedicated,"State Agencies",OK
2017,"Compressed Natural Gas (CNG)",Oklahoma,87,14,"Light Duty","Automobiles (Compact)",Dedicated,"State Agencies",OK
