Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Hydrogen (HYD)","South Carolina",2,2,"Heavy Duty",Buses,Dedicated,"State Agencies",SC
2017,"Hydrogen (HYD)",California,1,2,"Heavy Duty",Buses,Dedicated,"Transit Agencies",CA
2017,"Hydrogen (HYD)",California,31,24,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",CA
2017,"Hydrogen (HYD)",Ohio,5,109,"Heavy Duty",Buses,Dedicated,"Transit Agencies",OH
2017,"Hydrogen (HYD)",California,2,2,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",CA
2017,"Hydrogen (HYD)",California,18,95,"Heavy Duty",Buses,Non-dedicated,"Transit Agencies",CA
2016,"Hydrogen (HYD)","District of Columbia",1,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"Federal Agencies",DC
2016,"Hydrogen (HYD)","District of Columbia",0,0,"Light Duty","Automobiles (Subcompact)",Dedicated,"Federal Agencies",DC
2016,"Hydrogen (HYD)",California,1,1,"Heavy Duty",Buses,Dedicated,"State Agencies",CA
2016,"Hydrogen (HYD)",Utah,1,1,"Heavy Duty",Buses,Dedicated,"State Agencies",UT
2016,"Hydrogen (HYD)",California,1,2,"Heavy Duty",Buses,Dedicated,"Transit Agencies",CA
2016,"Hydrogen (HYD)",California,18,98,"Heavy Duty",Buses,Non-dedicated,"Transit Agencies",CA
2016,"Hydrogen (HYD)","South Carolina",1,1,"Heavy Duty",Buses,Dedicated,"State Agencies",SC
2016,"Hydrogen (HYD)",California,26,20,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",CA
2015,"Hydrogen (HYD)",Nevada,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",NV
2015,"Hydrogen (HYD)",California,18,79,"Heavy Duty",Buses,Non-dedicated,"Transit Agencies",CA
2015,"Hydrogen (HYD)",California,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",CA
