Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Liquefied Petroleum Gas (LPG)",Texas,35,42,"Medium Duty",Trucks,Non-dedicated,"Propane Fuel Providers",TX
2017,"Liquefied Petroleum Gas (LPG)",Texas,174,298,"Medium Duty",Trucks,Dedicated,"Propane Fuel Providers",TX
2017,"Liquefied Petroleum Gas (LPG)",Utah,1,0,"Light Duty",Pickups,Non-dedicated,"Propane Fuel Providers",UT
2017,"Liquefied Petroleum Gas (LPG)",Utah,1,1,"Light Duty",Pickups,Dedicated,"Propane Fuel Providers",UT
2017,"Liquefied Petroleum Gas (LPG)",Utah,1,0,"Light Duty",SUVs,Non-dedicated,"Propane Fuel Providers",UT
2017,"Liquefied Petroleum Gas (LPG)",Utah,1,2,"Medium Duty",Trucks,Dedicated,"Propane Fuel Providers",UT
2017,"Liquefied Petroleum Gas (LPG)",Virginia,3,11,"Heavy Duty",Trucks,Dedicated,"Propane Fuel Providers",VA
2017,"Liquefied Petroleum Gas (LPG)",Virginia,5,2,"Light Duty",Pickups,Non-dedicated,"Propane Fuel Providers",VA
2017,"Liquefied Petroleum Gas (LPG)",Virginia,1,1,"Light Duty",Pickups,Dedicated,"Propane Fuel Providers",VA
2017,"Liquefied Petroleum Gas (LPG)",Virginia,19,12,"Light Duty",Trucks,Non-dedicated,"Propane Fuel Providers",VA
2017,"Liquefied Petroleum Gas (LPG)",Virginia,1,1,"Medium Duty",Pickups,Dedicated,"Propane Fuel Providers",VA
2017,"Liquefied Petroleum Gas (LPG)",Virginia,11,13,"Medium Duty",Trucks,Non-dedicated,"Propane Fuel Providers",VA
2017,"Liquefied Petroleum Gas (LPG)",Virginia,3,5,"Medium Duty",Trucks,Dedicated,"Propane Fuel Providers",VA
2017,"Liquefied Petroleum Gas (LPG)",Vermont,4,14,"Heavy Duty",Trucks,Dedicated,"Propane Fuel Providers",VT
2017,"Liquefied Petroleum Gas (LPG)",Vermont,3,5,"Medium Duty",Trucks,Dedicated,"Propane Fuel Providers",VT
2017,"Liquefied Petroleum Gas (LPG)",Washington,17,61,"Heavy Duty",Trucks,Dedicated,"Propane Fuel Providers",WA
2017,"Liquefied Petroleum Gas (LPG)",Washington,2,1,"Light Duty",Pickups,Non-dedicated,"Propane Fuel Providers",WA
2017,"Liquefied Petroleum Gas (LPG)",Washington,1,1,"Light Duty",Pickups,Dedicated,"Propane Fuel Providers",WA
2017,"Liquefied Petroleum Gas (LPG)",Washington,1,0,"Light Duty",SUVs,Non-dedicated,"Propane Fuel Providers",WA
