Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Ethanol, 85 percent (E85)",Ohio,85,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",OH
2017,"Ethanol, 85 percent (E85)",Ohio,945,1,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",OH
2017,"Ethanol, 85 percent (E85)",Ohio,1415,3,"Light Duty",Pickups,Non-dedicated,"State Agencies",OH
2017,"Ethanol, 85 percent (E85)",Ohio,632,1,"Light Duty",SUVs,Non-dedicated,"State Agencies",OH
2017,"Ethanol, 85 percent (E85)",Ohio,9,0,"Light Duty",Trucks,Non-dedicated,"State Agencies",OH
2017,"Ethanol, 85 percent (E85)",Ohio,422,1,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",OH
2017,"Ethanol, 85 percent (E85)",Ohio,613,0,"Medium Duty",Pickups,Non-dedicated,"State Agencies",OH
2017,"Ethanol, 85 percent (E85)",Ohio,115,0,"Medium Duty",Trucks,Non-dedicated,"State Agencies",OH
2017,"Ethanol, 85 percent (E85)",Oklahoma,142,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",OK
2017,"Ethanol, 85 percent (E85)",Oklahoma,283,2,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",OK
2017,"Ethanol, 85 percent (E85)",Oklahoma,350,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",OK
2017,"Ethanol, 85 percent (E85)",Oklahoma,163,1,"Light Duty",Pickups,Non-dedicated,"State Agencies",OK
2017,"Ethanol, 85 percent (E85)",Oklahoma,91,1,"Light Duty",SUVs,Non-dedicated,"State Agencies",OK
2017,"Ethanol, 85 percent (E85)",Oklahoma,106,2,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",OK
2017,"Ethanol, 85 percent (E85)",Oklahoma,11,0,"Medium Duty",Pickups,Non-dedicated,"State Agencies",OK
2017,"Ethanol, 85 percent (E85)",Oregon,3,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",OR
2017,"Ethanol, 85 percent (E85)",Oregon,669,2,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",OR
2017,"Ethanol, 85 percent (E85)",Oregon,157,2,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",OR
2017,"Ethanol, 85 percent (E85)",Oregon,718,5,"Light Duty",Pickups,Non-dedicated,"State Agencies",OR
2017,"Ethanol, 85 percent (E85)",Alaska,1,0,"Light Duty",Pickups,Non-dedicated,"Natural Gas Providers",AK
2017,"Ethanol, 85 percent (E85)",Missouri,3307,48,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",MO
2017,"Ethanol, 85 percent (E85)",Missouri,1082,33,"Light Duty",Pickups,Non-dedicated,"State Agencies",MO
2017,"Ethanol, 85 percent (E85)",Missouri,30,5,"Light Duty",SUVs,Non-dedicated,"State Agencies",MO
2017,"Ethanol, 85 percent (E85)",Missouri,12,2,"Light Duty",Trucks,Non-dedicated,"State Agencies",MO
2017,"Ethanol, 85 percent (E85)",Missouri,16,1,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",MO
2017,"Ethanol, 85 percent (E85)",Missouri,10,0,"Medium Duty",Pickups,Non-dedicated,"State Agencies",MO
2017,"Ethanol, 85 percent (E85)",Missouri,1,0,"Medium Duty",Trucks,Non-dedicated,"State Agencies",MO
2017,"Ethanol, 85 percent (E85)",Mississippi,514,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",MS
2017,"Ethanol, 85 percent (E85)",Mississippi,20,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",MS
2017,"Ethanol, 85 percent (E85)",Mississippi,854,13,"Light Duty",Pickups,Non-dedicated,"State Agencies",MS
2017,"Ethanol, 85 percent (E85)",Mississippi,174,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",MS
2017,"Ethanol, 85 percent (E85)",Mississippi,207,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",MS
2017,"Ethanol, 85 percent (E85)",Mississippi,75,0,"Medium Duty",Pickups,Non-dedicated,"State Agencies",MS
2017,"Ethanol, 85 percent (E85)","North Carolina",1166,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NC
2017,"Ethanol, 85 percent (E85)","North Carolina",2420,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",NC
2017,"Ethanol, 85 percent (E85)","North Carolina",240,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",NC
2017,"Ethanol, 85 percent (E85)","North Carolina",2762,11,"Light Duty",Pickups,Non-dedicated,"State Agencies",NC
2017,"Ethanol, 85 percent (E85)","North Carolina",959,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",NC
2017,"Ethanol, 85 percent (E85)","North Carolina",1395,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",NC
2017,"Ethanol, 85 percent (E85)","North Dakota",232,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",ND
2017,"Ethanol, 85 percent (E85)","North Dakota",136,2,"Light Duty",Pickups,Non-dedicated,"State Agencies",ND
2017,"Ethanol, 85 percent (E85)","North Dakota",147,1,"Light Duty",SUVs,Non-dedicated,"State Agencies",ND
2017,"Ethanol, 85 percent (E85)","North Dakota",199,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",ND
2017,"Ethanol, 85 percent (E85)",Nebraska,286,21,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NE
2017,"Ethanol, 85 percent (E85)",Nebraska,216,16,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",NE
2017,"Ethanol, 85 percent (E85)",Nebraska,717,12,"Light Duty",Pickups,Non-dedicated,"State Agencies",NE
2017,"Ethanol, 85 percent (E85)",Nebraska,59,3,"Light Duty",SUVs,Non-dedicated,"State Agencies",NE
2017,"Ethanol, 85 percent (E85)",Nebraska,199,9,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",NE
2017,"Ethanol, 85 percent (E85)","New Hampshire",2,0,"Heavy Duty",Buses,Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",11,0,"Heavy Duty",Trucks,Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",44,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",61,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",279,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",11,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",8,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",NH
