Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Liquefied Natural Gas (LNG)",Oklahoma,1,1,"Light Duty",SUVs,Non-dedicated,"Propane Fuel Providers",OK
2017,"Liquefied Natural Gas (LNG)",Wisconsin,1,0,"Light Duty",Pickups,Non-dedicated,"Propane Fuel Providers",WI
2017,"Liquefied Natural Gas (LNG)",Indiana,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",IN
2017,"Liquefied Natural Gas (LNG)",Kansas,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",KS
2017,"Liquefied Natural Gas (LNG)",Kentucky,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",KY
2017,"Liquefied Natural Gas (LNG)",Louisiana,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",LA
2017,"Liquefied Natural Gas (LNG)",Massachusetts,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",MA
2017,"Liquefied Natural Gas (LNG)",Maryland,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",MD
2017,"Liquefied Natural Gas (LNG)",Maine,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",ME
2017,"Liquefied Natural Gas (LNG)",Michigan,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",MI
2017,"Liquefied Natural Gas (LNG)",Minnesota,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",MN
2017,"Liquefied Natural Gas (LNG)",Missouri,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",MO
2017,"Liquefied Natural Gas (LNG)",Mississippi,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",MS
2017,"Liquefied Natural Gas (LNG)",Montana,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",MT
2017,"Liquefied Natural Gas (LNG)",Georgia,7,28,"Heavy Duty",Trucks,Dedicated,"Natural Gas Providers",GA
2017,"Liquefied Natural Gas (LNG)","North Carolina",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",NC
2017,"Liquefied Natural Gas (LNG)","North Dakota",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",ND
2017,"Liquefied Natural Gas (LNG)",Nebraska,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",NE
2017,"Liquefied Natural Gas (LNG)","New Hampshire",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",NH
2017,"Liquefied Natural Gas (LNG)","New Jersey",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",NJ
2017,"Liquefied Natural Gas (LNG)","New Mexico",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",NM
2017,"Liquefied Natural Gas (LNG)",Nevada,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",NV
2017,"Liquefied Natural Gas (LNG)","New York",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",NY
2017,"Liquefied Natural Gas (LNG)",Ohio,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",OH
2017,"Liquefied Natural Gas (LNG)",Oklahoma,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",OK
2017,"Liquefied Natural Gas (LNG)",Oregon,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",OR
2017,"Liquefied Natural Gas (LNG)",Pennsylvania,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",PA
2017,"Liquefied Natural Gas (LNG)","Rhode Island",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",RI
2017,"Liquefied Natural Gas (LNG)","South Carolina",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",SC
2017,"Liquefied Natural Gas (LNG)","South Dakota",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",SD
2017,"Liquefied Natural Gas (LNG)",Tennessee,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",TN
2017,"Liquefied Natural Gas (LNG)",Texas,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",TX
2017,"Liquefied Natural Gas (LNG)",Utah,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",UT
2017,"Liquefied Natural Gas (LNG)",Virginia,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",VA
2017,"Liquefied Natural Gas (LNG)",Vermont,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",VT
2017,"Liquefied Natural Gas (LNG)",Washington,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",WA
2017,"Liquefied Natural Gas (LNG)",Wisconsin,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",WI
2017,"Liquefied Natural Gas (LNG)","West Virginia",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",WV
2017,"Liquefied Natural Gas (LNG)",Wyoming,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",WY
2017,"Liquefied Natural Gas (LNG)",Texas,2,1,"Light Duty",Pickups,Non-dedicated,"Electricity Providers",TX
2017,"Liquefied Natural Gas (LNG)",Texas,16,14,"Medium Duty",Trucks,Non-dedicated,"State Agencies",TX
2017,"Liquefied Natural Gas (LNG)",Arizona,7,131,"Heavy Duty",Buses,Dedicated,"Transit Agencies",AZ
2017,"Liquefied Natural Gas (LNG)",California,186,1888,"Heavy Duty",Buses,Dedicated,"Transit Agencies",CA
2017,"Liquefied Natural Gas (LNG)",California,66,264,"Heavy Duty",Trucks,Dedicated,"Natural Gas Providers",CA
2017,"Liquefied Natural Gas (LNG)",Alaska,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",AK
2017,"Liquefied Natural Gas (LNG)",Alabama,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",AL
2017,"Liquefied Natural Gas (LNG)",Arkansas,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",AR
2017,"Liquefied Natural Gas (LNG)",Arizona,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",AZ
2017,"Liquefied Natural Gas (LNG)",California,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",CA
2017,"Liquefied Natural Gas (LNG)",Colorado,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",CO
2017,"Liquefied Natural Gas (LNG)","North Carolina",1,1,"Medium Duty",Trucks,Dedicated,"Natural Gas Providers",NC
2017,"Liquefied Natural Gas (LNG)",Connecticut,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",CT
2017,"Liquefied Natural Gas (LNG)","District of Columbia",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",DC
2017,"Liquefied Natural Gas (LNG)",Delaware,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",DE
2017,"Liquefied Natural Gas (LNG)",Florida,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",FL
2017,"Liquefied Natural Gas (LNG)",Georgia,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",GA
2017,"Liquefied Natural Gas (LNG)",Hawaii,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",HI
2017,"Liquefied Natural Gas (LNG)",Iowa,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Federal Agencies",IA
